water pH 1,ground water level 1,ground water level 2,soil moisture 1,soil moisture 2,soil moisture 3,motor monitor 1,motor monitor 2,salinity I,salinity E,air RH I,air RH E,wall temp I C,wall temp E C,wall mc1 I,wall mc2 I,wall mc3 I,wall mc1 E,wall mc2 E,wall mc3 E,rain intensity,rain duration,wind speed,wind direction (radians),crack1A,crack1B,crack2A,crack2b,crack3
6.7,5,7.87,37.88,51.57,40.77,2,4,11.285538,21.7908729,46.1379758,36.5739341,0.769528556,-3.723305722,0.009060631,0.00918617,0.008249177,0.007466486,0.007404985,0.004446393,1.28,18.7068826,12.8998786,2.76264815,-0.007446611,-0.003723306,-0.001861653,-0.005584959,-0.000371886
5.34,5.07,7.87,36.96,49.1,37.08,73,87,4.53229929,12.4230444,47.6117823,18.6698531,-5.336607722,1.790172222,0.001,0.001,0.001,0.001,0.001,0.001,0,0,7.20403862,3.32721002,0.003580344,0.001790172,0.000895086,0.002685258,0.000179117
6.21,6.76,6.28,42.12,54.1,46.81,100,68,23.8207155,28.8947642,7.08798529,17.1159946,0.6684395,-10.33556311,0.01095613,0.011532112,0.012765171,0.004674203,0.004518335,0.002379693,0,0,8.84359271,4.03481165,-0.020671126,-0.010335563,-0.005167782,-0.015503345,-0.001033318
7.55,6.09,2.65,53.66,72.56,57.59,2,65,1.50750411,7.93741098,41.8760449,17.3166914,9.795823833,5.012811944,0.001688462,0.001636032,0.001701569,0.001112811,0.001099108,0.000604654,2.8,19.2822245,0.90867672,2.39060535,0.010025624,0.005012812,0.002506406,0.007519218,0.000501342
8.87,6.37,2.23,44.25,55.51,45.72,32,84,11.5983199,18.2288386,29.8674723,42.4997811,-5.754153222,1.978160389,0.001,0.001,0.001,0.001,0.001,0.001,1.11,2.83586796,13.8460643,4.3099692,0.003956321,0.00197816,0.00098908,0.002967241,0.000197916
6.57,5.03,5.26,27.54,32.83,29,11,20,24.4816987,26.668469,39.9911034,24.3934095,-8.495096833,3.253266944,0.001,0.001,0.001,0.001,0.001,0.001,3.78,19.0288995,0.21821684,6.00625849,0.006506534,0.003253267,0.001626633,0.0048799,0.000325427
6.07,4.8,6.88,38.81,51.8,42,4,20,17.2657462,10.733314,37.7123086,37.2823888,-7.833851667,1.604358833,0.001,0.001,0.001,0.001,0.001,0.001,2.07,1.10742515,5.92420757,5.91578884,0.003208718,0.001604359,0.000802179,0.002406538,0.000160536
8.3,4.68,6.78,51.26,56.7,48.07,86,53,2.2149927,17.577954,31.2363612,31.1472421,-8.053390611,-1.144128278,0.001,0.001,0.001,0.001,0.001,0.001,0,0,13.7116645,1.91828045,-0.002288257,-0.001144128,-0.000572064,-0.001716192,-0.000114313
8.97,6.1,2.15,43.99,50.1,39.32,81,95,19.9560607,30.130074,22.9231289,33.2055488,-2.447942556,5.989942056,0.001,0.001,0.001,0.001,0.001,0.001,1.07,1.09127673,13.7915903,4.90587633,0.011979884,0.005989942,0.002994971,0.008984913,0.000599094
7.84,5.88,2.46,47.93,58.56,45.81,4,2,29.4086357,28.8520331,44.2363104,39.5424511,4.666240611,-3.204293222,0.002411695,0.001938689,0.002348021,0.001147803,0.001181674,0.000474868,2.36,20.6529192,7.47992397,6.15844037,-0.006408586,-0.003204293,-0.001602147,-0.00480644,-0.000320382
5,6.31,4.95,47.34,58.1,42.15,6,70,14.9500912,2.56684775,5.15578815,44.6901931,-6.513806167,-1.438673944,0.001,0.001,0.001,0.001,0.001,0.001,0.03,9.34296458,7.85657738,4.4479867,-0.002877348,-0.001438674,-0.000719337,-0.002158011,-0.000143767
7.02,2.83,6.42,28.25,43.28,31.77,50,43,23.3072107,2.00545501,24.5299544,32.0635821,11.88367189,-3.506223222,0.001070445,0.001102361,0.001275364,0.000425083,0.000458152,0.000245869,1.27,4.24275489,12.7888652,1.5408754,-0.007012446,-0.003506223,-0.001753112,-0.005259335,-0.000350598
9,2.6,3.7,35.32,42.1,31.89,64,34,19.5974072,15.6217419,16.068932,13.5350787,13.99040556,0.138190278,0.001093045,0.001339456,0.001498956,0.000458476,0.000455703,0.000221158,0,0,3.681957,3.19387139,0.000276381,0.00013819,6.90951E-05,0.000207285,1.38411E-05
7.12,3.12,7.49,23.46,30.54,24.56,71,37,26.402169,26.2050452,21.4120939,39.838237,-1.100851111,0.833416444,0.001,0.001,0.001,0.001,0.001,0.001,2.68,0.25909266,11.3040044,4.17531576,0.001666833,0.000833416,0.000416708,0.001250125,8.34416E-05
5.02,4.53,2.33,37.16,47.49,32.03,65,10,19.1023716,3.15779736,34.3069299,4.81781701,-2.158660556,0.642593556,0.001,0.001,0.001,0.001,0.001,0.001,1.82,11.8812183,8.98820662,4.72469792,0.001285187,0.000642594,0.000321297,0.00096389,6.43594E-05
5.74,5.62,4.79,46.17,61.32,51.02,50,90,5.50810191,29.2460445,30.8085509,19.4070653,4.3089175,7.776420444,0.002155052,0.002291648,0.002207685,0.003644945,0.003789278,0.003062836,3.49,13.0906336,14.0555672,2.58738765,0.015552841,0.00777642,0.00388821,0.011664631,0.000777948
6.94,6.51,2.7,45.68,53.85,46.15,17,12,4.51348725,27.6942513,27.2817652,36.3106171,-6.016763278,-4.617469833,0.001,0.001,0.001,0.001,0.001,0.001,0,0,1.22711747,4.17630153,-0.00923494,-0.00461747,-0.002308735,-0.006926205,-0.000461647
6.4,4.83,7.3,33.85,39.93,31.71,61,14,9.16655235,12.6397432,31.72081,22.866893,2.955872444,10.60449889,0.002779326,0.002315367,0.002725068,0.004490272,0.004402319,0.002378469,0,0,3.10804925,4.33596349,0.021208998,0.010604499,0.005302249,0.015906748,0.001060688
6.11,6.78,7.11,37.5,51.42,35.67,85,100,4.90622512,6.18505229,24.9344462,45.8147488,-11.479468,-3.372629056,0.001,0.001,0.001,0.001,0.001,0.001,1.02,3.42479536,14.797819,4.36268743,-0.006745258,-0.003372629,-0.001686315,-0.005058944,-0.000337163
5.48,3.01,2.93,28.79,38.35,29.77,50,45,24.0024496,24.2294645,33.2615082,30.4013582,-4.409153722,2.364287667,0.001,0.001,0.001,0.001,0.001,0.001,0,0,2.96238286,0.73679496,0.004728575,0.002364288,0.001182144,0.003546432,0.000236529
6.81,7.92,5.03,48.32,59.47,44.21,91,9,11.4196251,28.2409426,21.6786012,42.3810441,5.144857111,-1.136562222,0.00219545,0.002060089,0.001815326,0.001245772,0.001268758,0.000620161,0,0,11.6811691,1.41294849,-0.002273124,-0.001136562,-0.000568281,-0.001704843,-0.000113594
7.64,5.56,2.49,51.89,66.51,52.15,2,89,7.99701669,25.0529673,29.1172232,30.6219044,1.932824556,-10.47874533,0.004231233,0.00452649,0.004903632,0.001743011,0.001742391,0.000867012,3.7,20.2325981,1.14042722,2.54482088,-0.020957491,-0.010478745,-0.005239373,-0.015718118,-0.001047788
6.28,4.75,3.04,35.94,48.1,35.93,8,52,10.8329603,29.8293706,19.9675249,14.3212773,-0.408126278,3.593734778,0.001,0.001,0.001,0.001,0.001,0.001,0.89,13.5380741,3.77144169,4.3275127,0.00718747,0.003593735,0.001796867,0.005390602,0.000359473
5.26,5.77,4.18,44.65,62.31,49.3,66,60,18.9828304,10.5872434,25.082701,30.61452,9.275157056,-2.659640056,0.001552327,0.001733205,0.0013589,0.000608564,0.000614674,0.000282367,0,0,12.2934201,5.42128334,-0.00531928,-0.00265964,-0.00132982,-0.00398946,-0.000265936
7.62,3.29,6.34,21.55,32.41,30.28,11,100,17.4425879,16.8909305,22.2073258,44.9345187,-1.643516056,-7.781666833,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.2304312,1.91215222,-0.015563334,-0.007781667,-0.003890833,-0.0116725,-0.000778067
8.83,3.36,6.15,34.65,41.61,31.01,22,5,23.4535131,24.2251095,28.5494036,31.2619348,-8.302863556,-10.88537678,0.001,0.001,0.001,0.001,0.001,0.001,0,0,8.95491384,5.06435162,-0.021770754,-0.010885377,-0.005442688,-0.016328065,-0.001088438
7.5,4.46,3.17,45.01,58.86,48.62,3,66,24.2782188,21.3004683,27.9035039,48.1765368,-4.730122556,-6.529302889,0.001,0.001,0.001,0.001,0.001,0.001,0.58,7.27013732,7.19816426,3.82108383,-0.013058606,-0.006529303,-0.003264651,-0.009793954,-0.00065283
7.1,6.7,7.63,52.68,68.4,52.96,54,65,26.4484638,4.39461007,33.7994138,52.2365244,-5.184086722,0.401711833,0.001,0.001,0.001,0.001,0.001,0.001,0,0,3.13663265,1.43681972,0.000803424,0.000401712,0.000200856,0.000602568,4.02712E-05
8.38,6.14,5.6,38.16,49.84,40.66,91,44,11.3476605,20.4484259,38.3405406,22.0841825,-0.418898278,-8.551222944,0.001,0.001,0.001,0.001,0.001,0.001,0.59,21.0471708,9.40245675,1.55201547,-0.017102446,-0.008551223,-0.004275611,-0.012826834,-0.000855022
7.95,7.03,5.14,47.28,59.2,45.87,89,37,18.7593344,23.3859936,28.9404591,39.1476484,2.262333111,-0.799958,0.003421904,0.003765541,0.003120275,0.002863812,0.002818521,0.001467531,1.06,17.8827612,6.53673849,3.45210948,-0.001599916,-0.000799958,-0.000399979,-0.001199937,-7.9849E-05
5.76,3.97,5.35,31.83,40.62,30.9,66,30,9.01313854,15.3318857,13.9898151,26.9910301,3.319722333,6.896781278,0.00245213,0.002534575,0.002334784,0.00307956,0.003080857,0.001524862,0,0,13.0423956,3.46110376,0.013793563,0.006896781,0.003448391,0.010345172,0.000689831
6.01,5.48,2.84,30.34,38.38,31.83,58,63,23.9643288,29.2679152,38.3024805,24.4444145,-4.812335944,1.188166778,0.001,0.001,0.001,0.001,0.001,0.001,1.8,0.30637,11.0053128,5.06268246,0.002376334,0.001188167,0.000594083,0.00178225,0.000118917
7.1,6.4,5.55,58.08,66.83,57.82,74,75,12.7401466,17.0965476,19.9170511,42.7858681,-6.481368444,-10.11345611,0.001,0.001,0.001,0.001,0.001,0.001,0,0,12.983793,4.93636084,-0.020226912,-0.010113456,-0.005056728,-0.015170184,-0.001011246
9,8.97,6.41,64.39,80.16,61.89,71,89,16.546648,25.8264504,25.2356701,36.0811653,-1.539360222,1.935474889,0.001,0.001,0.001,0.001,0.001,0.001,0,0,3.08940536,1.04223941,0.00387095,0.001935475,0.000967737,0.002903212,0.000193647
6.04,5.12,7.37,40.28,52.38,35.6,55,47,2.3609318,21.2684142,13.6598747,15.3857136,-2.105011111,5.378013167,0.001,0.001,0.001,0.001,0.001,0.001,2.55,14.0560342,12.7529621,0.0830561,0.010756026,0.005378013,0.002689007,0.00806702,0.000537901
5.01,5.84,7.62,43.35,59.85,44.1,33,87,20.6225516,21.3597021,19.8778119,43.5808306,4.797829056,-4.246019389,0.002275558,0.001896298,0.002287591,0.001058336,0.001032907,0.000581641,1.48,11.7692784,4.67428261,4.57218069,-0.008492039,-0.004246019,-0.00212301,-0.006369029,-0.000424544
6.82,4.38,2.79,19.16,26.64,19.05,33,73,5.66179446,17.6572385,22.3399294,30.2887022,-1.444760389,3.004746333,0.001,0.001,0.001,0.001,0.001,0.001,3.56,1.39301048,9.10759469,2.28086303,0.006009493,0.003004746,0.001502373,0.00450712,0.000300575
7.97,2.61,4.08,23.24,30.06,26.4,80,85,29.4591598,21.063002,29.1314998,31.5447598,-7.151736833,-9.593266111,0.001,0.001,0.001,0.001,0.001,0.001,0.32,7.53149275,2.15439049,0.53786022,-0.019186532,-0.009593266,-0.004796633,-0.014389899,-0.000959227
7.32,4.09,3.82,20.06,28.02,19.48,57,11,12.3556676,21.5385046,24.1417853,30.1705216,6.561591667,-0.385593111,0.001366129,0.001228874,0.001792643,0.000825892,0.000851603,0.000557203,0,0,12.5945375,0.45267136,-0.000771186,-0.000385593,-0.000192797,-0.00057839,-3.85036E-05
7.08,3.25,7.97,31.05,39.98,28.32,17,82,21.9969473,1.77105343,19.8074825,39.5746372,2.210074167,-13.94909268,0.002519916,0.003613425,0.004398616,0.000962544,0.000994123,0.000551402,2.01,2.89078077,2.38935098,3.36091318,-0.027898185,-0.013949093,-0.006974546,-0.020923639,-0.001394854
5.55,3.8,7.62,37.71,50.76,41.4,85,95,14.8059564,22.4607575,42.9841847,32.3230268,1.710005833,-4.652093111,0.005046947,0.004164038,0.005252784,0.002759835,0.002768623,0.001283529,0,0,1.02195665,3.88123659,-0.009304186,-0.004652093,-0.002326047,-0.00697814,-0.000465081
8.86,5.7,4.22,36.43,50.14,40.01,4,72,4.04498726,9.13647793,23.7835428,31.6113307,-2.672899833,5.208727056,0.001,0.001,0.001,0.001,0.001,0.001,0,0,7.86970846,5.25357658,0.010417454,0.005208727,0.002604364,0.007813091,0.000520973
8.57,2.58,7.94,28.37,38.08,26.77,18,62,30.2138936,14.5641234,24.8536221,34.781694,2.816267111,7.572968278,0.002753204,0.002574835,0.00331938,0.003780947,0.003762531,0.001888071,0,0,7.19506929,6.17247212,0.015145937,0.007572968,0.003786484,0.011359452,0.000757486
5.22,6.32,4.02,38.32,49.09,39.69,90,95,2.1989063,15.1174327,21.0735029,33.1297137,11.3404215,1.117077111,0.001442521,0.00128887,0.001365695,0.000670515,0.000651021,0.000345447,0.52,13.5280851,11.7489818,0.72133732,0.002234154,0.001117077,0.000558539,0.001675616,0.000111742
7.32,4.22,5.44,34.93,41.25,26.91,15,5,1.8233601,5.90089174,25.5667195,43.7549866,-10.18628311,-10.4741945,0.001,0.001,0.001,0.001,0.001,0.001,0,0,10.1072547,2.33032222,-0.020948389,-0.010474195,-0.005237097,-0.015711292,-0.001047319
8.68,7.92,4.15,55.42,73.17,59.42,66,57,18.1338716,1.45867548,28.6724861,35.0154098,-0.285721,-4.070933778,0.001,0.001,0.001,0.001,0.001,0.001,1.19,3.74086684,0.58113384,5.97518065,-0.008141868,-0.004070934,-0.002035467,-0.006106401,-0.000406993
8.78,3.57,2.01,42.6,53.83,42.51,67,37,14.7092906,27.5689506,22.9975929,43.0667161,1.326273722,10.14006917,0.006143021,0.005969421,0.006713264,0.013264765,0.013008002,0.010092624,2.38,15.8487644,8.34325031,1.64409607,0.020280138,0.010140069,0.005070035,0.015210104,0.001015016
6.43,5.63,4.77,48.01,58.26,48.35,19,76,14.0779229,7.02780583,30.8355045,37.7516283,0.622238778,-16.03877474,0.010735317,0.013331207,0.014012461,0.003478293,0.003416356,0.002072135,0.48,23.5374302,7.56881838,1.67415456,-0.032077549,-0.016038775,-0.008019387,-0.024058162,-0.00160367
5.14,5.12,4.2,39.34,47.74,40.64,67,77,10.8174277,1.27135436,20.217698,35.8721685,4.502635167,-2.578478833,0.002028053,0.001575438,0.001902034,0.001298664,0.001310596,0.000872269,3.39,9.33222321,2.66268617,2.12807384,-0.005156958,-0.002578479,-0.001289239,-0.003867718,-0.000257761
7.45,2.06,6.39,27.48,31.42,23.07,65,35,9.26338679,21.6213318,22.5326849,35.201921,5.366513,-1.283354611,0.001487163,0.001464778,0.002054011,0.001046024,0.001018829,0.000487051,1.95,18.2930036,6.31547591,4.91596295,-0.002566709,-0.001283355,-0.000641677,-0.001925032,-0.000128287
7.92,6.1,5.43,42.1,51.74,42.12,49,89,23.6116007,29.3934334,25.5135003,43.9919785,-1.946029833,2.2559075,0.001,0.001,0.001,0.001,0.001,0.001,3.06,17.7272697,11.2057089,6.0067619,0.004511815,0.002255908,0.001127954,0.003383861,0.000225691
5.68,3.93,6.98,40.01,47.66,35.51,92,19,6.78039424,8.94317439,7.75283497,35.4422138,3.368872556,3.183928389,0.002197674,0.002731337,0.003063439,0.002552272,0.002406145,0.001108288,0,0,13.9541978,5.15000367,0.006367857,0.003183928,0.001591964,0.004775893,0.000318504
6.03,5.59,5.47,48.65,59.01,47.28,39,37,11.8450163,24.8952573,33.4023765,43.0552174,-6.440134778,13],0.001,0.001,0.001,0.001,0.001,0.001,3.28,22.7275903,0.61934996,5.52709072,0.004,0.003,0.002,0.02,0.0003
7.18,4.16,2.18,36.8,50.66,39.93,51,72,11.6469827,29.2050214,1.23370199,29.2552908,0.465476167,-3.292106056,0.015357586,0.013327172,0.016287457,0.011442537,0.011730723,0.005989348,3.48,8.98076228,9.50128164,3.03505976,-0.006584212,-0.003292106,-0.001646053,-0.004938159,-0.000328612
7.99,4.65,2.2,38.65,48.51,35.96,9,70,14.9576483,12.5868316,28.4007747,37.8953252,2.513820111,5.63356,0.003152769,0.003121853,0.003694739,0.003822189,0.004047532,0.00224636,0,0,13.9011234,3.60857046,0.01126712,0.00563356,0.00281678,0.00845034,0.000563581
5.96,3.19,4.99,38.51,50.11,39.12,3,95,25.9418723,17.2537755,28.6592853,31.1667737,4.095653389,-15.42718766,0.002173477,0.002234092,0.002419401,0.000496907,0.000496515,0.000254334,0,0,11.8952134,1.13029624,-0.030854375,-0.015427188,-0.007713594,-0.023140781,-0.001542693
6,5.81,6.79,33.48,38.53,31.96,30,53,24.1043275,28.0757988,30.4361491,34.7894454,-9.202765444,3.535985722,0.001,0.001,0.001,0.001,0.001,0.001,0,0,8.22666158,0.0033821,0.007071971,0.003535986,0.001767993,0.005303979,0.000353699
6.9,5.92,7.13,41.21,48.59,41.65,80,59,16.3925054,19.1174008,26.4037878,24.9895624,-5.863354222,2.232746333,0.001,0.001,0.001,0.001,0.001,0.001,0,0,3.86639798,1.71736885,0.004465493,0.002232746,0.001116373,0.00334912,0.000223375
7.99,7.47,2.84,47.76,56.27,45.22,41,82,22.0665069,28.5001784,19.4100332,36.3338669,4.834827833,0.392540722,0.001825236,0.001973155,0.002117985,0.001435004,0.00149334,0.000723702,0,0,6.343287,5.99569001,0.000785081,0.000392541,0.00019627,0.000588811,3.93264E-05
6.24,5.06,3.81,43.44,53.77,42.38,16,82,29.1182293,29.1628675,10.7278413,24.1868419,-1.884308056,4.874362667,0.001,0.001,0.001,0.001,0.001,0.001,0,0,5.01293027,4.69582424,0.009748725,0.004874363,0.002437181,0.007311544,0.000487536
6.05,4.19,7.93,44.28,54.54,47.01,1,92,15.0854988,25.0984715,36.4023384,22.3277138,-5.1563085,-13.19822539,0.001,0.001,0.001,0.001,0.001,0.001,0,0,7.39828315,2.45182468,-0.026396451,-0.013198225,-0.006599113,-0.019797338,-0.001319723
6.63,3.98,2.23,30.39,42.28,33.75,8,57,27.9950433,10.343879,35.4912058,28.8368365,4.555043056,10.91750311,0.00181026,0.001798602,0.00186413,0.00292053,0.002987483,0.001528148,0,0,10.4677016,2.22140158,0.021835006,0.010917503,0.005458752,0.016376255,0.001091903
6.9,2.51,5.82,36.87,42.59,34.02,78,11,17.2052608,8.85872892,45.8758126,34.6572014,11.961653,-0.487979167,0.001032517,0.001168854,0.00116936,0.000521604,0.000519573,0.000291312,0,0,2.43873691,3.90691125,-0.000975958,-0.000487979,-0.00024399,-0.000731969,-4.87688E-05
6.5,5.85,3.48,30.96,39.32,34.36,86,88,20.3625827,3.72090513,34.2069783,27.5431975,-5.731831611,10.864303,0.001,0.001,0.001,0.001,0.001,0.001,2.55,16.8766128,11.7006026,5.65690187,0.021728606,0.010864303,0.005432152,0.016296455,0.00108653
7.17,6.21,4.02,44.83,58.47,43.76,100,43,2.7468453,17.3609214,23.6779165,12.1257511,-4.195524722,4.381149611,0.001,0.001,0.001,0.001,0.001,0.001,0,0,12.2549061,3.91502404,0.008762299,0.00438115,0.002190575,0.006571724,0.000438215
5.38,5.38,6.66,45.39,60.2,43.33,63,71,8.23771523,1.66236589,17.2543502,31.010412,-1.354171722,-7.967806556,0.001,0.001,0.001,0.001,0.001,0.001,1.43,20.5527528,2.07502288,1.02033628,-0.015935613,-0.007967807,-0.003983903,-0.01195171,-0.000796681
6.74,4.35,2.14,38.64,50.12,38.23,46,87,11.6900552,20.4297057,35.0089405,22.4752586,-2.578974944,2.856691333,0.001,0.001,0.001,0.001,0.001,0.001,3.77,13.7195372,10.3690597,0.47362933,0.005713383,0.002856691,0.001428346,0.004285037,0.000285769
8.72,3.84,5.98,25.67,33.46,28.66,86,45,16.57175,29.3445107,23.520736,22.5083754,2.144440056,3.978706889,0.003062588,0.002966049,0.003564734,0.00370467,0.003769463,0.001856026,0,0,11.3633371,2.68708561,0.007957414,0.003978707,0.001989353,0.00596806,0.000398056
5.36,2.05,7.25,21.95,23.52,19.04,27,92,7.24901078,8.85402847,39.4846853,30.7976582,3.802526278,0.808364778,0.001652868,0.001696268,0.00225225,0.001605039,0.001577347,0.000907934,0,0,12.011649,1.64593537,0.00161673,0.000808365,0.000404182,0.001212547,8.09273E-05
5.19,4.81,8,38.32,46.41,37.52,90,80,2.45112452,4.85386676,21.1423979,31.7972937,-3.595706833,-0.850326778,0.001,0.001,0.001,0.001,0.001,0.001,3.43,7.71483269,3.24649868,1.80538963,-0.001700654,-0.000850327,-0.000425163,-0.00127549,-8.49327E-05
7.53,4.72,7.21,49.63,62.81,51.94,64,63,22.0616159,12.6406832,40.1868262,25.5439095,-5.464334111,0.641630667,0.001,0.001,0.001,0.001,0.001,0.001,0,0,5.19058253,3.26943337,0.001283261,0.000641631,0.000320815,0.000962446,6.42631E-05
7.89,7.54,5.95,52.15,64.61,51.26,32,82,11.4728722,10.6660319,48.7417045,30.1019644,2.916489722,-15.39926919,0.003315985,0.003463711,0.003532537,0.000726737,0.000744257,0.000299358,0,0,4.43879947,3.94978413,-0.030798538,-0.015399269,-0.007699635,-0.023098904,-0.001539897
6.6,5.41,6.23,41.37,51.56,41.96,61,73,23.4163789,9.80260968,34.1812577,22.4334416,-12.53287513,9.560781667,0.001,0.001,0.001,0.001,0.001,0.001,0,0,10.2354117,0.21912599,0.019121563,0.009560782,0.004780391,0.014341173,0.000956178
7.06,4.27,4.24,39.68,50.24,37.89,100,7,21.1294954,17.8628197,41.0788558,12.4745871,3.508580167,0.836534278,0.002140739,0.00254134,0.002219792,0.002000064,0.001995252,0.000981988,0,0,1.44158306,1.06854978,0.001673069,0.000836534,0.000418267,0.001254801,8.37516E-05
6.27,2.59,3.96,36.72,45.35,34.61,62,26,4.64994531,14.3196613,27.7506378,34.5964408,-5.717345056,6.460358056,0.001,0.001,0.001,0.001,0.001,0.001,0,0,9.18173393,4.52233832,0.012920716,0.006460358,0.003230179,0.009690537,0.000646136
6.98,5.08,7.07,38.1,53.32,42.69,11,46,1.38114513,7.76581376,16.8074991,40.9613164,-0.603083167,5.409107,0.001,0.001,0.001,0.001,0.001,0.001,0,0,8.53646644,1.13125769,0.010818214,0.005409107,0.002704554,0.008113661,0.000541011
